address,name,file,length
0x818,gUnk_08000818,data/data_08000360.o,0x9
0x821,gUnk_08000821,data/data_08000360.o,0x4
0x825,gUnk_08000825,data/data_08000360.o,0x11
0x836,gUnk_08000836,data/data_08000360.o,0x1
0x837,gUnk_08000837,data/data_08000360.o,0x1
0x838,gUnk_08000838,data/data_08000360.o,0x8
0x840,gUnk_08000840,data/data_08000360.o,0x30
0x870,gUnk_08000870,data/data_08000360.o,0x2c
0x89c,gUnk_0800089C,data/data_08000360.o,0x4
0x8a0,gUnk_080008A0,data/data_08000360.o,0x5d
0x8fd,gUnk_080008FD,data/data_08000360.o,0x3
0x900,gUnk_08000900,data/data_08000360.o,0x1
0x901,gUnk_08000901,data/data_08000360.o,0x4
0x905,gUnk_08000905,data/data_08000360.o,0x9
0x90e,gUnk_0800090E,data/data_08000360.o,0x1
0x90f,gUnk_0800090F,data/data_08000360.o,0x2
0x911,gUnk_08000911,data/data_08000360.o,0x2f
0x940,gUnk_08000940,data/data_08000360.o,0x1a
0x95a,gUnk_0800095A,data/data_08000360.o,0x26
0x980,gUnk_08000980,data/data_08000360.o,0x4e
0x9ce,gUnk_080009CE,data/data_08000360.o,0x28
0x9f6,gUnk_080009F6,data/data_08000360.o,0x4
0x9fa,gUnk_080009FA,data/data_08000360.o,0x6
0xa00,gUnk_08000A00,data/data_08000360.o,0x5
0xa05,gUnk_08000A05,data/data_08000360.o,0x3
0xa08,gUnk_08000A08,data/data_08000360.o,0x1
0xa09,gUnk_08000A09,data/data_08000360.o,0x7
0xa10,gUnk_08000A10,data/data_08000360.o,0x2
0xa12,gUnk_08000A12,data/data_08000360.o,0x1
0xa13,gUnk_08000A13,data/data_08000360.o,0x1
0xa14,gUnk_08000A14,data/data_08000360.o,0x1
0xa15,gUnk_08000A15,data/data_08000360.o,0x23
0xa38,gUnk_08000A38,data/data_08000360.o,0x8
0xa40,gUnk_08000A40,data/data_08000360.o,0x44
0xa84,gUnk_08000A84,data/data_08000360.o,0x8f
0xb13,gUnk_08000B13,data/data_08000360.o,0x2
0xb15,gUnk_08000B15,data/data_08000360.o,0x1
0xb16,gUnk_08000B16,data/data_08000360.o,0xa
0xb20,gUnk_08000B20,data/data_08000360.o,0x20
0xb40,gUnk_08000B40,data/data_08000360.o,0xc0
0xc00,gUnk_08000C00,data/data_08000360.o,0x4
