romA,addressA,romB,addressB,certainty,author,note,enabled
USA,0x1d7674,DEMO,0x1d80a4,5,octorock,Pointer at USA 0x2b2c,False
USA,0x1d7674,JP,0x1d72a0,5,octorock,Pointer at USA 0x2b2c,False
USA,0x1181b4,DEMO,0x117d38,5,octorock,Pointer at USA 0x2b18,False
USA,0x1181b4,JP,0x117e78,5,octorock,Pointer at USA 0x2b18,False
USA,0x132810,DEMO,0x133260,5,octorock,Pointer at USA 0x2b28,True
USA,0x132810,JP,0x13243c,5,octorock,Pointer at USA 0x2b28,True
USA,0x1327dc,DEMO,0x13322c,5,octorock,Pointer at USA 0x2b24,True
USA,0x1327dc,JP,0x132408,5,octorock,Pointer at USA 0x2b24,True
DEMO,0x109704,USA,0x109b80,5,octorock,Pointer at DEMO 0x2b34,False
DEMO,0x109704,JP,0x109844,5,octorock,Pointer at DEMO 0x2b34,True
DEMO,0x117d68,USA,0x1181e4,5,octorock,Pointer at DEMO 0x2b38,False
DEMO,0x117d68,JP,0x117ea8,5,octorock,Pointer at DEMO 0x2b38,False
DEMO,0x1ffbe4,USA,0x1ff1b4,5,octorock,Pointer at DEMO 0x2c2c,False
DEMO,0x1ffbe4,JP,0x1fede0,5,octorock,Pointer at DEMO 0x2c2c,False
DEMO,0x247f04,USA,0x2474d4,5,octorock,Pointer at DEMO 0x2fdc,False
DEMO,0x247f04,JP,0x247100,5,octorock,Pointer at DEMO 0x2fdc,False
DEMO,0x1097e4,USA,0x109c60,5,octorock,Pointer at DEMO 0x2b44,False
DEMO,0x1097e4,JP,0x109924,5,octorock,Pointer at DEMO 0x2b44,False
DEMO,0x111118,USA,0x111594,5,octorock,Pointer at DEMO 0x2b54,False
DEMO,0x111118,JP,0x111258,5,octorock,Pointer at DEMO 0x2b54,False
DEMO,0x11106c,USA,0x1114e8,5,octorock,Pointer at DEMO 0x2b64,False
DEMO,0x11106c,JP,0x1111ac,5,octorock,Pointer at DEMO 0x2b64,False
DEMO,0x112898,USA,0x112d14,5,octorock,Pointer at DEMO 0x2b84,False
DEMO,0x112898,JP,0x1129d8,5,octorock,Pointer at DEMO 0x2b84,False
DEMO,0x117dbc,USA,0x118238,5,octorock,Pointer at DEMO 0x2b48,False
DEMO,0x117dbc,JP,0x117efc,5,octorock,Pointer at DEMO 0x2b48,False
DEMO,0x117de8,USA,0x118264,5,octorock,Pointer at DEMO 0x2b58,False
DEMO,0x117de8,JP,0x117f28,5,octorock,Pointer at DEMO 0x2b58,False
DEMO,0x117e1c,USA,0x118298,5,octorock,Pointer at DEMO 0x2b68,False
DEMO,0x117e1c,JP,0x117f5c,5,octorock,Pointer at DEMO 0x2b68,False
DEMO,0x117f1c,USA,0x118398,5,octorock,Pointer at DEMO 0x2b78,False
DEMO,0x117f1c,JP,0x11805c,5,octorock,Pointer at DEMO 0x2b78,False
DEMO,0x117f40,USA,0x1183bc,5,octorock,Pointer at DEMO 0x2b88,False
DEMO,0x117f40,JP,0x118080,5,octorock,Pointer at DEMO 0x2b88,False
DEMO,0x117ff0,USA,0x11846c,5,octorock,Pointer at DEMO 0x2b98,False
DEMO,0x117ff0,JP,0x118130,5,octorock,Pointer at DEMO 0x2b98,False
DEMO,0x11802c,USA,0x1184a8,5,octorock,Pointer at DEMO 0x2ba8,False
DEMO,0x11802c,JP,0x11816c,5,octorock,Pointer at DEMO 0x2ba8,False
DEMO,0x1180dc,USA,0x118558,5,octorock,Pointer at DEMO 0x2bb8,False
