rom_variant,address,points_to,certainty,author,note
DEMO,0x2de8,0x8119674,5,octorock,
USA,0x2df8,0x8119b7c,5,octorock,
JP,0x2df8,0x8119840,5,octorock,
DEMO,0x2df8,0x8119700,5,octorock,
USA,0x2e08,0x8119bf0,5,octorock,
JP,0x2e08,0x81198b4,5,octorock,
DEMO,0x2e08,0x8119774,5,octorock,
USA,0x2e18,0x8119c64,5,octorock,
JP,0x2e18,0x8119928,5,octorock,
DEMO,0x2e18,0x81197e8,5,octorock,
USA,0x2e28,0x8119cf4,5,octorock,
JP,0x2e28,0x81199b8,5,octorock,
DEMO,0x2e28,0x8119878,5,octorock,
USA,0x2e38,0x8119d54,5,octorock,
JP,0x2e38,0x8119a18,5,octorock,
DEMO,0x2e38,0x81198d8,5,octorock,
USA,0x2e48,0x8119da8,5,octorock,
JP,0x2e48,0x8119a6c,5,octorock,
DEMO,0x2e48,0x811992c,5,octorock,
USA,0x2e58,0x8119dfc,5,octorock,
JP,0x2e58,0x8119ac0,5,octorock,
DEMO,0x2e58,0x8119980,5,octorock,
USA,0x2e68,0x8119e18,5,octorock,
JP,0x2e68,0x8119adc,5,octorock,
DEMO,0x2e68,0x811999c,5,octorock,
USA,0x2e78,0x8119e44,5,octorock,
JP,0x2e78,0x8119b08,5,octorock,
DEMO,0x2e78,0x81199c8,5,octorock,
USA,0x2e88,0x8119eb0,5,octorock,
JP,0x2e88,0x8119b74,5,octorock,
DEMO,0x2e88,0x8119a34,5,octorock,
USA,0x2e98,0x8119ed8,5,octorock,
JP,0x2e98,0x8119b9c,5,octorock,
DEMO,0x2e98,0x8119a5c,5,octorock,
USA,0x2ea8,0x8119f80,5,octorock,
JP,0x2ea8,0x8119c44,5,octorock,
DEMO,0x2ea8,0x8119b04,5,octorock,
USA,0x2eb8,0x8119fa4,5,octorock,
JP,0x2eb8,0x8119c68,5,octorock,
DEMO,0x2eb8,0x8119b28,5,octorock,
USA,0x2ec8,0x8119fd4,5,octorock,
JP,0x2ec8,0x8119c98,5,octorock,
DEMO,0x2ec8,0x8119b58,5,octorock,
USA,0x2ed8,0x811a01c,5,octorock,
JP,0x2ed8,0x8119ce0,5,octorock,
DEMO,0x2ed8,0x8119ba0,5,octorock,
USA,0x2ee8,0x811a04c,5,octorock,
JP,0x2ee8,0x8119d10,5,octorock,
DEMO,0x2ee8,0x8119bd0,5,octorock,
USA,0x2ef8,0x811a068,5,octorock,
JP,0x2ef8,0x8119d2c,5,octorock,
DEMO,0x2ef8,0x8119bec,5,octorock,
USA,0x2f08,0x811a0a4,5,octorock,
JP,0x2f08,0x8119d68,5,octorock,
DEMO,0x2f08,0x8119c28,5,octorock,
USA,0x2f18,0x811a0cc,5,octorock,
JP,0x2f18,0x8119d90,5,octorock,
DEMO,0x2f18,0x8119c50,5,octorock,
USA,0x2f28,0x811a0e4,5,octorock,
JP,0x2f28,0x8119da8,5,octorock,
DEMO,0x2f28,0x8119c68,5,octorock,
USA,0x2f38,0x811a124,5,octorock,
JP,0x2f38,0x8119de8,5,octorock,
DEMO,0x2f38,0x8119ca8,5,octorock,
USA,0x2f48,0x811a144,5,octorock,
JP,0x2f48,0x8119e08,5,octorock,
DEMO,0x2f48,0x8119cc8,5,octorock,
USA,0x2f58,0x811a17c,5,octorock,
JP,0x2f58,0x8119e40,5,octorock,
DEMO,0x2f58,0x8119d00,5,octorock,
USA,0x2f68,0x811a1c8,5,octorock,
JP,0x2f68,0x8119e8c,5,octorock,
DEMO,0x2f68,0x8119d4c,5,octorock,
USA,0x2f78,0x811a1f8,5,octorock,
JP,0x2f78,0x8119ebc,5,octorock,
DEMO,0x2f78,0x8119d7c,5,octorock,
USA,0x2f88,0x811a228,5,octorock,
JP,0x2f88,0x8119eec,5,octorock,
DEMO,0x2f88,0x8119dac,5,octorock,
USA,0x2f98,0x811a280,5,octorock,
JP,0x2f98,0x8119f44,5,octorock,
DEMO,0x2f98,0x8119e04,5,octorock,
USA,0x2fa8,0x811a28c,5,octorock,
JP,0x2fa8,0x8119f50,5,octorock,
DEMO,0x2fa8,0x8119e10,5,octorock,
USA,0x2fb8,0x811a2a8,5,octorock,
JP,0x2fb8,0x8119f6c,5,octorock,
DEMO,0x2fb8,0x8119e2c,5,octorock,
USA,0x2fc8,0x811a2d0,5,octorock,
JP,0x2fc8,0x8119f94,5,octorock,
DEMO,0x2fc8,0x8119e54,5,octorock,
USA,0x2fd8,0x811a2fc,5,octorock,
JP,0x2fd8,0x8119fc0,5,octorock,
DEMO,0x2fd8,0x8119e80,5,octorock,
USA,0x2fe8,0x811a510,5,octorock,
JP,0x2fe8,0x811a1d4,5,octorock,
DEMO,0x2fe8,0x811a094,5,octorock,
USA,0x2ff8,0x811a75c,5,octorock,
JP,0x2ff8,0x811a420,5,octorock,
DEMO,0x2ff8,0x811a2e0,5,octorock,
USA,0x3008,0x811a7a8,5,octorock,
JP,0x3008,0x811a46c,5,octorock,
DEMO,0x3008,0x811a32c,5,octorock,
USA,0x3018,0x811a86c,5,octorock,
JP,0x3018,0x811a530,5,octorock,
DEMO,0x3018,0x811a3f0,5,octorock,
USA,0x3028,0x811a8cc,5,octorock,
JP,0x3028,0x811a590,5,octorock,
DEMO,0x3028,0x811a450,5,octorock,
USA,0x3038,0x811a9b4,5,octorock,
JP,0x3038,0x811a678,5,octorock,
DEMO,0x3038,0x811a538,5,octorock,
USA,0x3048,0x811aa2c,4,octorock,
JP,0x3048,0x811a6f0,4,octorock,
DEMO,0x3048,0x811a5b0,4,octorock,
USA,0x3058,0x811aa7c,5,octorock,
JP,0x3058,0x811a740,5,octorock,
DEMO,0x3058,0x811a600,5,octorock,
USA,0x3068,0x811ab18,5,octorock,
JP,0x3068,0x811a7dc,5,octorock,
DEMO,0x3068,0x811a69c,5,octorock,
USA,0x3078,0x811abf8,5,octorock,
JP,0x3078,0x811a8bc,5,octorock,
DEMO,0x3078,0x811a77c,5,octorock,
USA,0x3088,0x811ad24,5,octorock,
JP,0x3088,0x811a9e8,5,octorock,
DEMO,0x3088,0x811a8a8,5,octorock,
USA,0x3098,0x811adcc,5,octorock,
JP,0x3098,0x811aa90,5,octorock,
DEMO,0x3098,0x811a950,5,octorock,
USA,0x30a8,0x811aeb0,5,octorock,
JP,0x30a8,0x811ab74,5,octorock,
DEMO,0x30a8,0x811aa34,5,octorock,
USA,0x30b8,0x811aed8,5,octorock,
JP,0x30b8,0x811ab9c,5,octorock,
DEMO,0x30b8,0x811aa5c,5,octorock,
USA,0x30c8,0x811af24,5,octorock,
JP,0x30c8,0x811abe8,5,octorock,
DEMO,0x30c8,0x811aaa8,5,octorock,
USA,0x30d8,0x811af34,5,octorock,
JP,0x30d8,0x811abf8,5,octorock,
DEMO,0x30d8,0x811aab8,5,octorock,
USA,0x30e8,0x811af64,5,octorock,
JP,0x30e8,0x811ac28,5,octorock,
DEMO,0x30e8,0x811aae8,5,octorock,
USA,0x30f8,0x811af8c,5,octorock,
JP,0x30f8,0x811ac50,5,octorock,
DEMO,0x30f8,0x811ab10,5,octorock,
USA,0x3108,0x811afbc,5,octorock,
JP,0x3108,0x811ac80,5,octorock,
DEMO,0x3108,0x811ab40,5,octorock,
USA,0x3118,0x811afd0,5,octorock,
JP,0x3118,0x811ac94,5,octorock,
DEMO,0x3118,0x811ab54,5,octorock,
USA,0x3128,0x811b000,5,octorock,
JP,0x3128,0x811acc4,5,octorock,
DEMO,0x3128,0x811ab84,5,octorock,
USA,0x3138,0x811b01c,5,octorock,
JP,0x3138,0x811ace0,5,octorock,
DEMO,0x3138,0x811aba0,5,octorock,
USA,0x3148,0x811b02c,5,octorock,
JP,0x3148,0x811acf0,5,octorock,
DEMO,0x3148,0x811abb0,5,octorock,
USA,0x3158,0x811b0b0,5,octorock,
JP,0x3158,0x811ad74,5,octorock,
DEMO,0x3158,0x811ac34,5,octorock,
USA,0x3168,0x811b130,5,octorock,
JP,0x3168,0x811adf4,5,octorock,
DEMO,0x3168,0x811acb4,5,octorock,
USA,0x3178,0x811b178,5,octorock,
JP,0x3178,0x811ae3c,5,octorock,
DEMO,0x3178,0x811acfc,5,octorock,
USA,0x3188,0x811b190,5,octorock,
JP,0x3188,0x811ae54,5,octorock,
DEMO,0x3188,0x811ad14,5,octorock,
USA,0x3198,0x811b214,5,octorock,
JP,0x3198,0x811aed8,5,octorock,
DEMO,0x3198,0x811ad98,5,octorock,
USA,0x31a8,0x811b258,5,octorock,
JP,0x31a8,0x811af1c,5,octorock,
DEMO,0x31a8,0x811addc,5,octorock,
USA,0x31b8,0x811b294,5,octorock,
JP,0x31b8,0x811af58,5,octorock,
DEMO,0x31b8,0x811ae18,5,octorock,
USA,0x31c8,0x811b2fc,5,octorock,
JP,0x31c8,0x811afc0,5,octorock,
DEMO,0x31c8,0x811ae80,5,octorock,
USA,0x31d8,0x811b34c,5,octorock,
JP,0x31d8,0x811b010,5,octorock,
DEMO,0x31d8,0x811aed0,5,octorock,
USA,0x31f8,0x811b394,5,octorock,
JP,0x31f8,0x811b058,5,octorock,
DEMO,0x31f8,0x811af18,5,octorock,
USA,0x3208,0x811b3a4,5,octorock,
JP,0x3208,0x811b068,5,octorock,
DEMO,0x3208,0x811af28,5,octorock,
USA,0x3218,0x811b3b4,5,octorock,
JP,0x3218,0x811b078,5,octorock,
DEMO,0x3218,0x811af38,5,octorock,
USA,0x3228,0x811b3c8,5,octorock,
JP,0x3228,0x811b08c,5,octorock,
DEMO,0x3228,0x811af4c,5,octorock,
USA,0x3238,0x811b408,5,octorock,
JP,0x3238,0x811b0cc,5,octorock,
DEMO,0x3238,0x811af8c,5,octorock,
USA,0x3248,0x811b540,5,octorock,
JP,0x3248,0x811b204,5,octorock,
DEMO,0x3248,0x811b0c4,5,octorock,
USA,0x3258,0x811b564,5,octorock,
JP,0x3258,0x811b228,5,octorock,
DEMO,0x3258,0x811b0e8,5,octorock,
USA,0x3214,0x8122638,5,octorock,
JP,0x3214,0x81222fc,5,octorock,
DEMO,0x3214,0x8123044,5,octorock,
USA,0x3224,0x812a36c,5,octorock,
JP,0x3224,0x812a030,5,octorock,
DEMO,0x3224,0x812adbc,5,octorock,
USA,0x3234,0x8123474,5,octorock,
JP,0x3234,0x8123138,5,octorock,
DEMO,0x3234,0x8123e80,5,octorock,
USA,0x3244,0x80cf234,5,octorock,
JP,0x3244,0x80cefd4,5,octorock,
DEMO,0x3244,0x80cedb8,5,octorock,
USA,0x3254,0x81233b0,5,octorock,
JP,0x3254,0x8123074,5,octorock,
DEMO,0x3254,0x8123dbc,5,octorock,
USA,0x3264,0x810ff38,5,octorock,
JP,0x3264,0x810fbfc,5,octorock,
DEMO,0x3264,0x810fabc,5,octorock,
USA,0x3274,0x810fbd0,5,octorock,
JP,0x3274,0x810f894,5,octorock,
DEMO,0x3274,0x810f754,5,octorock,
USA,0x3284,0x81130a0,5,octorock,
JP,0x3284,0x8112d64,5,octorock,
DEMO,0x3284,0x8112c24,5,octorock,
USA,0x3294,0x8113108,5,octorock,
JP,0x3294,0x8112dcc,5,octorock,
DEMO,0x3294,0x8112c8c,5,octorock,
USA,0x32a4,0x810c32c,5,octorock,
JP,0x32a4,0x810bff0,5,octorock,
DEMO,0x32a4,0x810beb0,5,octorock,
USA,0x32b4,0x810c390,5,octorock,
JP,0x32b4,0x810c054,5,octorock,
DEMO,0x32b4,0x810bf14,5,octorock,
USA,0x32c4,0x810fe90,5,octorock,
JP,0x32c4,0x810fb54,5,octorock,
DEMO,0x32c4,0x810fa14,5,octorock,
USA,0x32d4,0x810c414,5,octorock,
JP,0x32d4,0x810c0d8,5,octorock,
DEMO,0x32d4,0x810bf98,5,octorock,
USA,0x32e4,0x810c468,5,octorock,
JP,0x32e4,0x810c12c,5,octorock,
DEMO,0x32e4,0x810bfec,5,octorock,
USA,0x32f4,0x80cf890,5,octorock,
JP,0x32f4,0x80cf630,5,octorock,
DEMO,0x32f4,0x80cf414,5,octorock,
USA,0x3304,0x81118f0,5,octorock,
JP,0x3304,0x81115b4,5,octorock,
DEMO,0x3304,0x8111474,5,octorock,
USA,0x3314,0x81118cc,5,octorock,
JP,0x3314,0x8111590,5,octorock,
DEMO,0x3314,0x8111450,5,octorock,
USA,0x3324,0x8112598,5,octorock,
JP,0x3324,0x811225c,5,octorock,
DEMO,0x3324,0x811211c,5,octorock,
USA,0x3334,0x81132e4,5,octorock,
JP,0x3334,0x8112fa8,5,octorock,
DEMO,0x3334,0x8112e68,5,octorock,
USA,0x3344,0x8113314,5,octorock,
JP,0x3344,0x8112fd8,5,octorock,
DEMO,0x3344,0x8112e98,5,octorock,
USA,0x3354,0x8113490,5,octorock,
JP,0x3354,0x8113154,5,octorock,
DEMO,0x3354,0x8113014,5,octorock,
USA,0x3374,0x8113730,5,octorock,
JP,0x3374,0x81133f4,5,octorock,
DEMO,0x3374,0x81132b4,5,octorock,
USA,0x3384,0x81138fc,5,octorock,
JP,0x3384,0x81135c0,5,octorock,
DEMO,0x3384,0x8113480,5,octorock,
USA,0x3394,0x8113ef8,5,octorock,
JP,0x3394,0x8113bbc,5,octorock,
DEMO,0x3394,0x8113a7c,5,octorock,
USA,0x33b4,0x8110eac,5,octorock,
JP,0x33b4,0x8110b70,5,octorock,
DEMO,0x33b4,0x8110a30,5,octorock,
USA,0x33c4,0x80ca470,5,octorock,
JP,0x33c4,0x80ca210,5,octorock,
DEMO,0x33c4,0x80c9ff4,5,octorock,
USA,0x33d4,0x81203fc,5,octorock,
JP,0x33d4,0x81200c0,5,octorock,
DEMO,0x33d4,0x8120e08,5,octorock,
USA,0x33e4,0x81203fc,5,octorock,
JP,0x33e4,0x81200c0,5,octorock,
DEMO,0x33e4,0x8120e08,5,octorock,
USA,0x33f4,0x81229a4,5,octorock,
JP,0x33f4,0x8122668,5,octorock,
DEMO,0x33f4,0x81233b0,5,octorock,
USA,0x3404,0x80cb67c,5,octorock,
JP,0x3404,0x80cb41c,5,octorock,
DEMO,0x3404,0x80cb200,5,octorock,
USA,0x3414,0x812714c,5,octorock,
JP,0x3414,0x8126e10,5,octorock,
DEMO,0x3414,0x8127b58,5,octorock,
USA,0x3424,0x811f118,5,octorock,
JP,0x3424,0x811eddc,5,octorock,
DEMO,0x3424,0x811fb24,5,octorock,
USA,0x3434,0x811ee10,5,octorock,
JP,0x3434,0x811ead4,5,octorock,
DEMO,0x3434,0x811f81c,5,octorock,
USA,0x3444,0x80ca650,5,octorock,
JP,0x3444,0x80ca3f0,5,octorock,
DEMO,0x3444,0x80ca1d4,5,octorock,
USA,0x3454,0x81205f4,5,octorock,
DEMO,0x3454,0x8121000,5,octorock,
JP,0x3454,0x81202b8,5,octorock,
USA,0x3464,0x80caa34,5,octorock,
DEMO,0x3464,0x80ca5b8,5,octorock,
JP,0x3464,0x80ca7d4,5,octorock,
USA,0x3474,0x811f954,5,octorock,
DEMO,0x3474,0x8120360,5,octorock,
JP,0x3474,0x811f618,5,octorock,
USA,0x3484,0x8120dec,5,octorock,
DEMO,0x3484,0x81217f8,5,octorock,
JP,0x3484,0x8120ab0,5,octorock,
USA,0x3494,0x80ca1f8,5,octorock,
DEMO,0x3494,0x80c9d7c,5,octorock,
JP,0x3494,0x80c9f98,5,octorock,
USA,0x34a4,0x8121b48,5,octorock,
DEMO,0x34a4,0x8122554,5,octorock,
JP,0x34a4,0x812180c,5,octorock,
USA,0x34b4,0x8129604,5,octorock,
DEMO,0x34b4,0x812a054,5,octorock,
JP,0x34b4,0x81292c8,5,octorock,
USA,0x34c4,0x80cb728,5,octorock,
DEMO,0x34c4,0x80cb2ac,5,octorock,
JP,0x34c4,0x80cb4c8,5,octorock,
USA,0x34d4,0x80cb914,5,octorock,
DEMO,0x34d4,0x80cb498,5,octorock,
JP,0x34d4,0x80cb6b4,5,octorock,
USA,0x34e4,0x80cb914,5,octorock,
DEMO,0x34e4,0x80cb498,5,octorock,
JP,0x34e4,0x80cb6b4,5,octorock,
USA,0x34f4,0x80cba18,5,octorock,
DEMO,0x34f4,0x80cb59c,5,octorock,
JP,0x34f4,0x80cb7b8,5,octorock,
USA,0x3504,0x80cbb44,5,octorock,
DEMO,0x3504,0x80cb6c8,5,octorock,
JP,0x3504,0x80cb8e4,5,octorock,
USA,0x3514,0x8120c08,5,octorock,
DEMO,0x3514,0x8121614,5,octorock,
JP,0x3514,0x81208cc,5,octorock,
USA,0x3524,0x81209e8,5,octorock,
DEMO,0x3524,0x81213f4,5,octorock,
JP,0x3524,0x81206ac,5,octorock,
USA,0x3534,0x811f8f0,5,octorock,
DEMO,0x3534,0x81202fc,5,octorock,
JP,0x3534,0x811f5b4,5,octorock,
USA,0x3544,0x8120c78,5,octorock,
DEMO,0x3544,0x8121684,5,octorock,
JP,0x3544,0x812093c,5,octorock,
USA,0x3554,0x8120d8c,5,octorock,
DEMO,0x3554,0x8121798,5,octorock,
JP,0x3554,0x8120a50,5,octorock,
USA,0x3564,0x80cbd58,5,octorock,
DEMO,0x3564,0x80cb8dc,5,octorock,
JP,0x3564,0x80cbaf8,5,octorock,
USA,0x3574,0x80cbea4,5,octorock,
DEMO,0x3574,0x80cba28,5,octorock,
JP,0x3574,0x80cbc44,5,octorock,
USA,0x3584,0x80cbea4,5,octorock,
DEMO,0x3584,0x80cba28,5,octorock,
JP,0x3584,0x80cbc44,5,octorock,
USA,0x3594,0x80cbea4,5,octorock,
DEMO,0x3594,0x80cba28,5,octorock,
JP,0x3594,0x80cbc44,5,octorock,
USA,0x35a4,0x80cbf78,5,octorock,
DEMO,0x35a4,0x80cbafc,5,octorock,
JP,0x35a4,0x80cbd18,5,octorock,
USA,0x35b4,0x80cc174,5,octorock,
DEMO,0x35b4,0x80cbcf8,5,octorock,
JP,0x35b4,0x80cbf14,5,octorock,
USA,0x35c4,0x8121158,5,octorock,
DEMO,0x35c4,0x8121b64,5,octorock,
JP,0x35c4,0x8120e1c,5,octorock,
USA,0x35d4,0x8121028,5,octorock,
DEMO,0x35d4,0x8121a34,5,octorock,
JP,0x35d4,0x8120cec,5,octorock,
USA,0x35e4,0x8124af8,5,octorock,
DEMO,0x35e4,0x8125504,5,octorock,
JP,0x35e4,0x81247bc,5,octorock,
USA,0x35f4,0x81212b8,5,octorock,
DEMO,0x35f4,0x8121cc4,5,octorock,
JP,0x35f4,0x8120f7c,5,octorock,
USA,0x3604,0x8121358,5,octorock,
DEMO,0x3604,0x8121d64,5,octorock,
JP,0x3604,0x812101c,5,octorock,
USA,0x3614,0x81213b8,5,octorock,
DEMO,0x3614,0x8121dc4,5,octorock,
JP,0x3614,0x812107c,5,octorock,
USA,0x3624,0x8120dc4,5,octorock,
DEMO,0x3624,0x81217d0,5,octorock,
JP,0x3624,0x8120a88,5,octorock,
USA,0x3634,0x80cc684,5,octorock,
DEMO,0x3634,0x80cc208,5,octorock,
JP,0x3634,0x80cc424,5,octorock,
USA,0x3644,0x80cc6d4,5,octorock,
DEMO,0x3644,0x80cc258,5,octorock,
JP,0x3644,0x80cc474,5,octorock,
USA,0x3654,0x811f7cc,5,octorock,
DEMO,0x3654,0x81201d8,5,octorock,
JP,0x3654,0x811f490,5,octorock,
USA,0x3664,0x81215b4,5,octorock,
DEMO,0x3664,0x8121fc0,5,octorock,
JP,0x3664,0x8121278,5,octorock,
USA,0x3674,0x8121c34,5,octorock,
DEMO,0x3674,0x8122640,5,octorock,
JP,0x3674,0x81218f8,5,octorock,
USA,0x3684,0x80cc780,5,octorock,
DEMO,0x3684,0x80cc304,5,octorock,
JP,0x3684,0x80cc520,5,octorock,
USA,0x3694,0x80cc8e0,5,octorock,
DEMO,0x3694,0x80cc464,5,octorock,
JP,0x3694,0x80cc680,5,octorock,
USA,0x36a4,0x80d00cc,5,octorock,
DEMO,0x36a4,0x80cfc50,5,octorock,
JP,0x36a4,0x80cfe6c,5,octorock,
USA,0x36b4,0x80ccb94,5,octorock,
DEMO,0x36b4,0x80cc718,5,octorock,
JP,0x36b4,0x80cc934,5,octorock,
USA,0x36c4,0x80ccd20,5,octorock,
DEMO,0x36c4,0x80cc8a4,5,octorock,
JP,0x36c4,0x80ccac0,5,octorock,
USA,0x36d4,0x812226c,5,octorock,
DEMO,0x36d4,0x8122c78,5,octorock,
JP,0x36d4,0x8121f30,5,octorock,
USA,0x36e4,0x8122334,5,octorock,
DEMO,0x36e4,0x8122d40,5,octorock,
JP,0x36e4,0x8121ff8,5,octorock,
USA,0x36f4,0x81225f4,5,octorock,
DEMO,0x36f4,0x8123000,5,octorock,
JP,0x36f4,0x81222b8,5,octorock,
USA,0x3704,0x80ccfdc,5,octorock,
DEMO,0x3704,0x80ccb60,5,octorock,
JP,0x3704,0x80ccd7c,5,octorock,
USA,0x3714,0x8122764,5,octorock,
DEMO,0x3714,0x8123170,5,octorock,
JP,0x3714,0x8122428,5,octorock,
USA,0x3724,0x80cd070,5,octorock,
DEMO,0x3724,0x80ccbf4,5,octorock,
JP,0x3724,0x80cce10,5,octorock,
USA,0x3734,0x80cd0e0,5,octorock,
DEMO,0x3734,0x80ccc64,5,octorock,
JP,0x3734,0x80cce80,5,octorock,
USA,0x3744,0x8129790,5,octorock,
DEMO,0x3744,0x812a1e0,5,octorock,
JP,0x3744,0x8129454,5,octorock,
USA,0x3754,0x8123208,5,octorock,
DEMO,0x3754,0x8123c14,5,octorock,
JP,0x3754,0x8122ecc,5,octorock,
USA,0x3764,0x80cd220,5,octorock,
DEMO,0x3764,0x80ccda4,5,octorock,
JP,0x3764,0x80ccfc0,5,octorock,
USA,0x3774,0x80cd274,5,octorock,
DEMO,0x3774,0x80ccdf8,5,octorock,
JP,0x3774,0x80cd014,5,octorock,
USA,0x3784,0x80cd2c8,5,octorock,
DEMO,0x3784,0x80cce4c,5,octorock,
JP,0x3784,0x80cd068,5,octorock,
USA,0x3794,0x80cd398,5,octorock,
DEMO,0x3794,0x80ccf1c,5,octorock,
JP,0x3794,0x80cd138,5,octorock,
USA,0x37a4,0x80cd50c,5,octorock,
DEMO,0x37a4,0x80cd090,5,octorock,
JP,0x37a4,0x80cd2ac,5,octorock,
USA,0x37b4,0x80cd5c8,5,octorock,
DEMO,0x37b4,0x80cd14c,5,octorock,
JP,0x37b4,0x80cd368,5,octorock,
USA,0x37c4,0x80cd6d0,5,octorock,
DEMO,0x37c4,0x80cd254,5,octorock,
JP,0x37c4,0x80cd470,5,octorock,
USA,0x37d4,0x80cdc00,5,octorock,
DEMO,0x37d4,0x80cd784,5,octorock,
JP,0x37d4,0x80cd9a0,5,octorock,
USA,0x37e4,0x8120878,5,octorock,
DEMO,0x37e4,0x8121284,5,octorock,
JP,0x37e4,0x812053c,5,octorock,
USA,0x37f4,0x80cdf38,5,octorock,
DEMO,0x37f4,0x80cdabc,5,octorock,
JP,0x37f4,0x80cdcd8,5,octorock,
USA,0x3804,0x80cdfa0,5,octorock,
DEMO,0x3804,0x80cdb24,5,octorock,
JP,0x3804,0x80cdd40,5,octorock,
USA,0x3814,0x80ce050,5,octorock,
DEMO,0x3814,0x80cdbd4,5,octorock,
JP,0x3814,0x80cddf0,5,octorock,
USA,0x3824,0x80ce100,5,octorock,
DEMO,0x3824,0x80cdc84,5,octorock,
JP,0x3824,0x80cdea0,5,octorock,
USA,0x3834,0x81297f8,5,octorock,
DEMO,0x3834,0x812a248,5,octorock,
JP,0x3834,0x81294bc,5,octorock,
USA,0x3844,0x8129894,5,octorock,
DEMO,0x3844,0x812a2e4,5,octorock,
JP,0x3844,0x8129558,5,octorock,
USA,0x3854,0x8129930,5,octorock,
DEMO,0x3854,0x812a380,5,octorock,
JP,0x3854,0x81295f4,5,octorock,
USA,0x3864,0x80ce264,5,octorock,
DEMO,0x3864,0x80cdde8,5,octorock,
JP,0x3864,0x80ce004,5,octorock,
USA,0x3874,0x80ca560,5,octorock,
DEMO,0x3874,0x80ca0e4,5,octorock,
JP,0x3874,0x80ca300,5,octorock,
USA,0x3884,0x80ce50c,5,octorock,
DEMO,0x3884,0x80ce090,5,octorock,
JP,0x3884,0x80ce2ac,5,octorock,
USA,0x3894,0x80ce404,5,octorock,
DEMO,0x3894,0x80cdf88,5,octorock,
JP,0x3894,0x80ce1a4,5,octorock,
USA,0x38a4,0x80cbf78,5,octorock,
DEMO,0x38a4,0x80cbafc,5,octorock,
JP,0x38a4,0x80cbd18,5,octorock,
USA,0x38b4,0x80ce770,5,octorock,
DEMO,0x38b4,0x80ce2f4,5,octorock,
JP,0x38b4,0x80ce510,5,octorock,
USA,0x38c4,0x80cea00,5,octorock,
DEMO,0x38c4,0x80ce584,5,octorock,
JP,0x38c4,0x80ce7a0,5,octorock,
USA,0x38d4,0x80ceb04,5,octorock,
DEMO,0x38d4,0x80ce688,5,octorock,
JP,0x38d4,0x80ce8a4,5,octorock,
USA,0x38e4,0x81234e0,5,octorock,
DEMO,0x38e4,0x8123eec,5,octorock,
JP,0x38e4,0x81231a4,5,octorock,
USA,0x38f4,0x8123728,5,octorock,
DEMO,0x38f4,0x8124134,5,octorock,
JP,0x38f4,0x81233ec,5,octorock,
USA,0x3904,0x80ceb6c,5,octorock,
DEMO,0x3904,0x80ce6f0,5,octorock,
JP,0x3904,0x80ce90c,5,octorock,
USA,0x3914,0x80cebd0,5,octorock,
DEMO,0x3914,0x80ce754,5,octorock,
JP,0x3914,0x80ce970,5,octorock,
USA,0x3924,0x80cec70,5,octorock,
DEMO,0x3924,0x80ce7f4,5,octorock,
JP,0x3924,0x80cea10,5,octorock,
USA,0x3934,0x80cee70,5,octorock,
DEMO,0x3934,0x80ce9f4,5,octorock,
JP,0x3934,0x80cec10,5,octorock,
USA,0x3944,0x80cfed4,5,octorock,
DEMO,0x3944,0x80cfa58,5,octorock,
JP,0x3944,0x80cfc74,5,octorock,
USA,0x3954,0x8129ab0,5,octorock,
DEMO,0x3954,0x812a500,5,octorock,
JP,0x3954,0x8129774,5,octorock,
USA,0x3964,0x8129ab0,5,octorock,
DEMO,0x3964,0x812a500,5,octorock,
JP,0x3964,0x8129774,5,octorock,
USA,0x3974,0x80cef24,5,octorock,
DEMO,0x3974,0x80ceaa8,5,octorock,
JP,0x3974,0x80cecc4,5,octorock,
USA,0x3984,0x8120bbc,5,octorock,
DEMO,0x3984,0x81215c8,5,octorock,
JP,0x3984,0x8120880,5,octorock,
USA,0x3994,0x80cf204,5,octorock,
DEMO,0x3994,0x80ced88,5,octorock,
JP,0x3994,0x80cefa4,5,octorock,
USA,0x39a4,0x8123620,5,octorock,
DEMO,0x39a4,0x812402c,5,octorock,
JP,0x39a4,0x81232e4,5,octorock,
USA,0x39b4,0x8121430,5,octorock,
DEMO,0x39b4,0x8121e3c,5,octorock,
JP,0x39b4,0x81210f4,5,octorock,
USA,0x39c4,0x81237e0,5,octorock,
DEMO,0x39c4,0x81241ec,5,octorock,
JP,0x39c4,0x81234a4,5,octorock,
USA,0x39d4,0x81237e0,5,octorock,
DEMO,0x39d4,0x81241ec,5,octorock,
JP,0x39d4,0x81234a4,5,octorock,
USA,0x39e4,0x812378c,5,octorock,
DEMO,0x39e4,0x8124198,5,octorock,
JP,0x39e4,0x8123450,5,octorock,
USA,0x39f4,0x8123834,5,octorock,
DEMO,0x39f4,0x8124240,5,octorock,
JP,0x39f4,0x81234f8,5,octorock,
JP,0x3a04,0x812035c,5,octorock,
DEMO,0x3a04,0x81210a4,5,octorock,
USA,0x3a04,0x8120698,5,octorock,
JP,0x3a14,0x80cf36c,5,octorock,
DEMO,0x3a14,0x80cf150,5,octorock,
USA,0x3a14,0x80cf5cc,5,octorock,
JP,0x3a24,0x80cf9ac,5,octorock,
DEMO,0x3a24,0x80cf790,5,octorock,
USA,0x3a24,0x80cfc0c,5,octorock,
JP,0x3a34,0x812930c,5,octorock,
DEMO,0x3a34,0x812a098,5,octorock,
