rom_variant,address,points_to,certainty,author,note
DEMO,0x2b18,0x8117d38,5,octorock,
JP,0x2b18,0x8117e78,5,octorock,
USA,0x2b28,0x8132810,5,octorock,
DEMO,0x2b28,0x8133260,5,octorock,
JP,0x2b28,0x813243c,5,octorock,
USA,0x2b24,0x81327dc,5,octorock,
DEMO,0x2b24,0x813322c,5,octorock,
JP,0x2b24,0x8132408,5,octorock,
DEMO,0x2b34,0x8109704,5,octorock,
USA,0x2b34,0x8109b80,5,octorock,
JP,0x2b34,0x8109844,5,octorock,
DEMO,0x2b38,0x8117d68,5,octorock,
USA,0x2b38,0x81181e4,5,octorock,
JP,0x2b38,0x8117ea8,5,octorock,
DEMO,0x2c2c,0x81ffbe4,5,octorock,
USA,0x2c2c,0x81ff1b4,5,octorock,
JP,0x2c2c,0x81fede0,5,octorock,
DEMO,0x2fdc,0x8247f04,5,octorock,
USA,0x2fdc,0x82474d4,5,octorock,
JP,0x2fdc,0x8247100,5,octorock,
DEMO,0x2b44,0x81097e4,5,octorock,
USA,0x2b44,0x8109c60,5,octorock,
JP,0x2b44,0x8109924,5,octorock,
DEMO,0x2b54,0x8111118,5,octorock,
USA,0x2b54,0x8111594,5,octorock,
JP,0x2b54,0x8111258,5,octorock,
DEMO,0x2b64,0x811106c,5,octorock,
USA,0x2b64,0x81114e8,5,octorock,
JP,0x2b64,0x81111ac,5,octorock,
DEMO,0x2b84,0x8112898,5,octorock,
USA,0x2b84,0x8112d14,5,octorock,
JP,0x2b84,0x81129d8,5,octorock,
DEMO,0x2b48,0x8117dbc,5,octorock,
USA,0x2b48,0x8118238,5,octorock,
JP,0x2b48,0x8117efc,5,octorock,
DEMO,0x2b58,0x8117de8,5,octorock,
USA,0x2b58,0x8118264,5,octorock,
JP,0x2b58,0x8117f28,5,octorock,
DEMO,0x2b68,0x8117e1c,5,octorock,
USA,0x2b68,0x8118298,5,octorock,
JP,0x2b68,0x8117f5c,5,octorock,
DEMO,0x2b78,0x8117f1c,5,octorock,
USA,0x2b78,0x8118398,5,octorock,
JP,0x2b78,0x811805c,5,octorock,
DEMO,0x2b88,0x8117f40,5,octorock,
USA,0x2b88,0x81183bc,5,octorock,
JP,0x2b88,0x8118080,5,octorock,
DEMO,0x2b98,0x8117ff0,5,octorock,
USA,0x2b98,0x811846c,5,octorock,
JP,0x2b98,0x8118130,5,octorock,
DEMO,0x2ba8,0x811802c,5,octorock,
USA,0x2ba8,0x81184a8,5,octorock,
JP,0x2ba8,0x811816c,5,octorock,
DEMO,0x2bb8,0x81180dc,5,octorock,
USA,0x2bb8,0x8118558,5,octorock,
JP,0x2bb8,0x811821c,5,octorock,
DEMO,0x2bc8,0x81182a4,5,octorock,
USA,0x2bc8,0x8118720,5,octorock,
JP,0x2bc8,0x81183e4,5,octorock,
DEMO,0x2bd8,0x81182ec,5,octorock,
USA,0x2bd8,0x8118768,5,octorock,
JP,0x2bd8,0x811842c,5,octorock,
DEMO,0x2be8,0x8118304,5,octorock,
USA,0x2be8,0x8118780,5,octorock,
JP,0x2be8,0x8118444,5,octorock,
DEMO,0x2bf8,0x811830c,5,octorock,
USA,0x2bf8,0x8118788,5,octorock,
JP,0x2bf8,0x811844c,5,octorock,
DEMO,0x2c08,0x8118318,5,octorock,
USA,0x2c08,0x8118794,5,octorock,
JP,0x2c08,0x8118458,5,octorock,
DEMO,0x2c18,0x8118444,5,octorock,
USA,0x2c18,0x81188c0,5,octorock,
JP,0x2c18,0x8118584,5,octorock,
DEMO,0x2c28,0x81184cc,5,octorock,
USA,0x2c28,0x8118948,5,octorock,
JP,0x2c28,0x811860c,5,octorock,
DEMO,0x2c38,0x81184e4,5,octorock,
USA,0x2c38,0x8118960,5,octorock,
JP,0x2c38,0x8118624,5,octorock,
DEMO,0x2c48,0x81184f8,5,octorock,
USA,0x2c48,0x8118974,5,octorock,
JP,0x2c48,0x8118638,5,octorock,
USA,0x2b94,0x8112dec,5,octorock,
DEMO,0x2b94,0x8112970,5,octorock,
JP,0x2b94,0x8112ab0,5,octorock,
USA,0x2ba4,0x810a5b8,5,octorock,
DEMO,0x2ba4,0x810a13c,5,octorock,
JP,0x2ba4,0x810a27c,5,octorock,
USA,0x2bb4,0x8110b04,5,octorock,
DEMO,0x2bb4,0x8110688,5,octorock,
JP,0x2bb4,0x81107c8,5,octorock,
USA,0x2bc4,0x8122c90,5,octorock,
DEMO,0x2bc4,0x812369c,5,octorock,
JP,0x2bc4,0x8122954,5,octorock,
USA,0x2bd4,0x8122ce4,5,octorock,
DEMO,0x2bd4,0x81236f0,5,octorock,
JP,0x2bd4,0x81229a8,5,octorock,
USA,0x2be4,0x8122d04,5,octorock,
DEMO,0x2be4,0x8123710,5,octorock,
JP,0x2be4,0x81229c8,5,octorock,
USA,0x2bf4,0x8122cbc,5,octorock,
DEMO,0x2bf4,0x81236c8,5,octorock,
JP,0x2bf4,0x8122980,5,octorock,
USA,0x2c04,0x810c7b4,5,octorock,
DEMO,0x2c04,0x810c338,5,octorock,
JP,0x2c04,0x810c478,5,octorock,
USA,0x2c14,0x812308c,5,octorock,
DEMO,0x2c14,0x8123a98,5,octorock,
JP,0x2c14,0x8122d50,5,octorock,
USA,0x2c24,0x810f98c,5,octorock,
DEMO,0x2c24,0x810f510,5,octorock,
JP,0x2c24,0x810f650,5,octorock,
USA,0x2c34,0x810f9d0,5,octorock,
DEMO,0x2c34,0x810f554,5,octorock,
JP,0x2c34,0x810f694,5,octorock,
USA,0x2c44,0x810fa14,5,octorock,
DEMO,0x2c44,0x810f598,5,octorock,
JP,0x2c44,0x810f6d8,5,octorock,
USA,0x2c54,0x810b4ec,5,octorock,
DEMO,0x2c54,0x810b070,5,octorock,
JP,0x2c54,0x810b1b0,5,octorock,
USA,0x2c58,0x8118988,5,octorock,
DEMO,0x2c58,0x811850c,5,octorock,
JP,0x2c58,0x811864c,5,octorock,
USA,0x31ac,0x82d4894,5,octorock,
DEMO,0x31ac,0x82d52c4,5,octorock,
JP,0x31ac,0x82d44c0,5,octorock,
USA,0x2c64,0x810f814,5,octorock,
DEMO,0x2c64,0x810f398,5,octorock,
JP,0x2c64,0x810f4d8,5,octorock,
USA,0x2c68,0x8118c00,5,octorock,
DEMO,0x2c68,0x8118784,5,octorock,
JP,0x2c68,0x81188c4,5,octorock,
USA,0x2c74,0x8110608,5,octorock,
DEMO,0x2c74,0x811018c,5,octorock,
JP,0x2c74,0x81102cc,5,octorock,
USA,0x2c84,0x81106a8,5,octorock,
DEMO,0x2c84,0x811022c,5,octorock,
JP,0x2c84,0x811036c,5,octorock,
USA,0x2c94,0x8110710,5,octorock,
DEMO,0x2c94,0x8110294,5,octorock,
JP,0x2c94,0x81103d4,5,octorock,
USA,0x2ca4,0x810f944,5,octorock,
DEMO,0x2ca4,0x810f4c8,5,octorock,
JP,0x2ca4,0x810f608,5,octorock,
USA,0x2cb4,0x810fd6c,5,octorock,
DEMO,0x2cb4,0x810f8f0,5,octorock,
JP,0x2cb4,0x810fa30,5,octorock,
USA,0x2cc4,0x810ca6c,5,octorock,
DEMO,0x2cc4,0x810c5f0,5,octorock,
JP,0x2cc4,0x810c730,5,octorock,
USA,0x2cd4,0x810cb54,5,octorock,
DEMO,0x2cd4,0x810c6d8,5,octorock,
JP,0x2cd4,0x810c818,5,octorock,
USA,0x2ce4,0x810cf20,5,octorock,
DEMO,0x2ce4,0x810caa4,5,octorock,
JP,0x2ce4,0x810cbe4,5,octorock,
USA,0x2cf4,0x810abf8,5,octorock,
DEMO,0x2cf4,0x810a77c,5,octorock,
JP,0x2cf4,0x810a8bc,5,octorock,
USA,0x2d04,0x8110028,5,octorock,
DEMO,0x2d04,0x810fbac,5,octorock,
JP,0x2d04,0x810fcec,5,octorock,
USA,0x2d14,0x81100e4,5,octorock,
DEMO,0x2d14,0x810fc68,5,octorock,
JP,0x2d14,0x810fda8,5,octorock,
USA,0x2d24,0x8110138,5,octorock,
DEMO,0x2d24,0x810fcbc,5,octorock,
JP,0x2d24,0x810fdfc,5,octorock,
USA,0x2d34,0x8110484,5,octorock,
DEMO,0x2d34,0x8110008,5,octorock,
JP,0x2d34,0x8110148,5,octorock,
USA,0x2d44,0x810bd58,5,octorock,
DEMO,0x2d44,0x810b8dc,5,octorock,
JP,0x2d44,0x810ba1c,5,octorock,
USA,0x2d64,0x810c1e4,5,octorock,
DEMO,0x2d64,0x810bd68,5,octorock,
JP,0x2d64,0x810bea8,5,octorock,
USA,0x2d74,0x810c868,5,octorock,
DEMO,0x2d74,0x810c3ec,5,octorock,
JP,0x2d74,0x810c52c,5,octorock,
USA,0x2d84,0x810cdd4,5,octorock,
DEMO,0x2d84,0x810c958,5,octorock,
JP,0x2d84,0x810ca98,5,octorock,
USA,0x2d94,0x8110c84,5,octorock,
DEMO,0x2d94,0x8110808,5,octorock,
JP,0x2d94,0x8110948,5,octorock,
USA,0x2da4,0x8110dc8,5,octorock,
DEMO,0x2da4,0x811094c,5,octorock,
JP,0x2da4,0x8110a8c,5,octorock,
USA,0x2db4,0x8111d34,5,octorock,
DEMO,0x2db4,0x81118b8,5,octorock,
JP,0x2db4,0x81119f8,5,octorock,
USA,0x2dc4,0x811125c,5,octorock,
DEMO,0x2dc4,0x8110de0,5,octorock,
JP,0x2dc4,0x8110f20,5,octorock,
USA,0x2dd4,0x811125c,5,octorock,
DEMO,0x2dd4,0x8110de0,5,octorock,
JP,0x2dd4,0x8110f20,5,octorock,
USA,0x2de4,0x8112100,5,octorock,
DEMO,0x2de4,0x8111c84,5,octorock,
JP,0x2de4,0x8111dc4,5,octorock,
USA,0x2df4,0x8112100,5,octorock,
DEMO,0x2df4,0x8111c84,5,octorock,
JP,0x2df4,0x8111dc4,5,octorock,
USA,0x2e04,0x8112100,5,octorock,
DEMO,0x2e04,0x8111c84,5,octorock,
JP,0x2e04,0x8111dc4,5,octorock,
USA,0x2e14,0x811222c,5,octorock,
DEMO,0x2e14,0x8111db0,5,octorock,
JP,0x2e14,0x8111ef0,5,octorock,
USA,0x2e24,0x8112f34,5,octorock,
DEMO,0x2e24,0x8112ab8,5,octorock,
JP,0x2e24,0x8112bf8,5,octorock,
USA,0x2e34,0x811319c,5,octorock,
DEMO,0x2e34,0x8112d20,5,octorock,
JP,0x2e34,0x8112e60,5,octorock,
USA,0x2e44,0x8113214,5,octorock,
DEMO,0x2e44,0x8112d98,5,octorock,
JP,0x2e44,0x8112ed8,5,octorock,
USA,0x2e54,0x8113380,5,octorock,
DEMO,0x2e54,0x8112f04,5,octorock,
JP,0x2e54,0x8113044,5,octorock,
USA,0x2e64,0x8113508,5,octorock,
DEMO,0x2e64,0x811308c,5,octorock,
JP,0x2e64,0x81131cc,5,octorock,
USA,0x2e84,0x81136b0,5,octorock,
DEMO,0x2e84,0x8113234,5,octorock,
JP,0x2e84,0x8113374,5,octorock,
USA,0x2e74,0x81135e8,5,octorock,
DEMO,0x2e74,0x811316c,5,octorock,
JP,0x2e74,0x81132ac,5,octorock,
USA,0x2e94,0x81138b8,5,octorock,
DEMO,0x2e94,0x811343c,5,octorock,
JP,0x2e94,0x811357c,5,octorock,
USA,0x2ea4,0x8113a08,5,octorock,
DEMO,0x2ea4,0x811358c,5,octorock,
JP,0x2ea4,0x81136cc,5,octorock,
USA,0x2eb4,0x8113a08,5,octorock,
DEMO,0x2eb4,0x811358c,5,octorock,
JP,0x2eb4,0x81136cc,5,octorock,
USA,0x2ec4,0x8113b98,5,octorock,
DEMO,0x2ec4,0x811371c,5,octorock,
JP,0x2ec4,0x811385c,5,octorock,
USA,0x2ed4,0x8113c14,5,octorock,
DEMO,0x2ed4,0x8113798,5,octorock,
JP,0x2ed4,0x81138d8,5,octorock,
USA,0x2ee4,0x8113c58,5,octorock,
DEMO,0x2ee4,0x81137dc,5,octorock,
JP,0x2ee4,0x811391c,5,octorock,
USA,0x2ef4,0x8113cd4,5,octorock,
DEMO,0x2ef4,0x8113858,5,octorock,
JP,0x2ef4,0x8113998,5,octorock,
USA,0x2f04,0x8113d1c,5,octorock,
